route,template,locale,score,mobile_score,desktop_score,issues
"/","/","ko","87","90","83","5 simultaneous infinite animations | 7 repeated image placements"
"/about","/about","ko","100","100","100",""
"/apply","/apply","ko","100","100","100",""
"/brand/social-kit","/brand/social-kit","ko","100","100","100",""
"/business","/business","ko","97","93","100","long static journey without editorial pacing"
"/campaign/japan-short-stay","/campaign/japan-short-stay","ko","100","100","100",""
"/collections","/collections","ko","100","100","100",""
"/collections/bali-monthstay","/collections/[slug]","ko","100","100","100",""
"/collections/busan-weekend","/collections/[slug]","ko","97","93","100","long static journey without editorial pacing"
"/collections/chiangmai-nomad","/collections/[slug]","ko","100","100","100",""
"/collections/chuseok-short-haul","/collections/[slug]","ko","100","100","100",""
"/collections/fukuoka-3n4d","/collections/[slug]","ko","100","100","100",""
"/collections/japan-onsen-reset","/collections/[slug]","ko","100","100","100",""
"/collections/osaka-foodie","/collections/[slug]","ko","100","100","100",""
"/collections/osaka-friends","/collections/[slug]","ko","100","100","100",""
"/collections/seoul-3n4d","/collections/[slug]","ko","100","100","100",""
"/collections/singapore-business","/collections/[slug]","ko","100","100","100",""
"/collections/taipei-workation","/collections/[slug]","ko","100","100","100",""
"/collections/tokyo-allinone","/collections/[slug]","ko","100","100","100",""
"/contact","/contact","ko","100","100","100",""
"/cruise","/cruise","ko","100","100","100",""
"/cruise/bellissima","/cruise/bellissima","ko","100","100","100",""
"/cruise/miracle","/cruise/miracle","ko","100","100","100",""
"/cruise/serena","/cruise/serena","ko","100","100","100",""
"/cruise/world-europa","/cruise/world-europa","ko","97","93","100","long static journey without editorial pacing"
"/destinations","/destinations","ko","100","100","100",""
"/destinations/bali","/destinations/[city]","ko","100","100","100",""
"/destinations/cebu","/destinations/[city]","ko","100","100","100",""
"/destinations/chiangmai","/destinations/[city]","ko","97","93","100","long static journey without editorial pacing"
"/destinations/compare","/destinations/compare","ko","100","100","100",""
"/destinations/danang","/destinations/[city]","ko","100","100","100",""
"/destinations/fukuoka","/destinations/[city]","ko","100","100","100",""
"/destinations/osaka","/destinations/[city]","ko","97","93","100","long static journey without editorial pacing"
"/destinations/sydney","/destinations/[city]","ko","100","100","100",""
"/destinations/tokyo","/destinations/[city]","ko","100","100","100",""
"/en","/:locale","en","82","82","82","5 simultaneous infinite animations | 8 repeated image placements"
"/en/collections","/:locale/collections","en","100","100","100",""
"/en/collections/bali-monthstay","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/busan-weekend","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/chiangmai-nomad","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/chuseok-short-haul","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/fukuoka-3n4d","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/japan-onsen-reset","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/osaka-foodie","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/osaka-friends","/:locale/collections/[slug]","en","97","93","100","long static journey without editorial pacing"
"/en/collections/seoul-3n4d","/:locale/collections/[slug]","en","100","100","100",""
"/en/collections/singapore-business","/:locale/collections/[slug]","en","100","100","100",""
